跃迁,角色5,角色4,光锥5,光锥4
1.0.上,希儿,虎克、佩拉、娜塔莎,于夜色中,鼹鼠党欢迎你、晚安与睡颜、一场术后对话
1.0.下,景元,停云、素裳、三月七,拂晓之前,与行星相会、唯有沉默、余生的第一天
1.1.上,银狼,丹恒、艾丝妲、希露瓦,雨一直下,点个关注吧！、记忆中的模样、别让世界静下来
1.1.下,罗刹,驭空、佩拉、青雀,棺的回响,晚安与睡颜、天才们的休憩、舞！舞！舞！
1.2.上,刃,阿兰、娜塔莎、素裳,到不了的彼岸,秘密誓心、同一种心情、论剑
1.2.下,卡芙卡,卢卡、桑博、希露瓦,只需等待,决心如汗珠般闪耀、猎物的视线、「我」的诞生
1.3.上,丹恒•饮月,驭空、艾丝妲、三月七,比阳光更明亮的,舞！舞！舞！、与行星相会、朗道的选择
1.3.下,符玄,玲可、虎克、佩拉,她已闭上双眼,此时恰好、在蓝天下、宇宙市场趋势
1.4.上,镜流,停云、青雀、桑博,此身为剑,记忆中的模样、别让世界静下来、猎物的视线
1.4.下,托帕&账账、希儿,桂乃芬、卢卡、素裳,烦恼着，幸福着、于夜色中,鼹鼠党欢迎你、决心如汗珠般闪耀、唯有沉默
1.5.上,藿藿,丹恒、阿兰、希露瓦,惊魂夜,同一种心情、点个关注吧！、宇宙市场趋势
1.5.下,银枝、银狼,寒鸦、玲可、艾丝妲,片刻，留在眼底、雨一直下,在蓝天下、一场术后对话、「我」的诞生
1.6.上,阮•梅、刃,雪衣、三月七、停云,镜中故我、到不了的彼岸,与行星相会、余生的第一天、秘密誓心
1.6.下,真理医生、卡芙卡,素裳、娜塔莎、虎克,纯粹思维的洗礼、只需等待,此时恰好、唯有沉默、朗道的选择
2.0.上,黑天鹅、丹恒•饮月,米沙、停云、桂乃芬,重塑时光之忆、比阳光更明亮的,铭记于心的约定、决心如汗珠般闪耀、舞！舞！舞！
2.0.下,花火、景元,桑博、青雀、寒鸦,游戏尘寰、拂晓之前,与行星相会、在蓝天下、天才们的休憩
2.1.上,黄泉、罗刹,加拉赫、佩拉、丹恒,行于流逝的岸、棺的回响,晚安与睡颜、一场术后对话、点个关注吧！
2.1.下,砂金、镜流,玲可、卢卡、希露瓦,命运从未公平、此身为剑,两个人的演唱会、同一种心情、别让世界静下来
2.2.上,知更鸟、托帕&账账,三月七、寒鸦、雪衣,夜色流光溢彩、烦恼着，幸福着,无边曼舞、论剑、此时恰好
2.2.下,波提欧、符玄,佩拉、卢卡、虎克,驶向第二次生命、她已闭上双眼,天才们的休憩、秘密誓心、朗道的选择
2.3.上,流萤、阮•梅,加拉赫、米沙、雪衣,梦应归于何处、镜中故我,记忆中的模样、余生的第一天、猎物的视线
2.3.下,翡翠、银枝,希露瓦、娜塔莎、艾丝妲,偏偏希望无价、片刻，留在眼底,谐乐静默之后、同一种心情、宇宙市场趋势
2.4.上,云璃、藿藿,寒鸦、驭空、玲可,落日时起舞、惊魂夜,鼹鼠党欢迎你、此时恰好、「我」的诞生
2.4.下,椒丘、花火,虎克、桂乃芬、阿兰,那无数个春天、游戏尘寰,芳华待灼、猎物的视线、秘密誓心
2.5.上,飞霄、卡芙卡、黑天鹅、知更鸟,貊泽、艾丝妲、卢卡,我将，巡征追猎、只需等待、重塑时光之忆、夜色流光溢彩,论剑、决心如汗珠般闪耀、「我」的诞生
2.5.下,灵砂、托帕&账账,米沙、娜塔莎、桂乃芬,唯有香如故、烦恼着，幸福着,黑夜如影随行、同一种心情、与行星相会
2.6.上,乱破、丹恒•饮月,玲可、雪衣、驭空,忍法帖•缭乱破魔、比阳光更明亮的,梦的蒙太奇、谐乐静默之后、在蓝天下
2.6.下,黄泉、砂金,三月七、佩拉、桑博,行于流逝的岸、命运从未公平,余生的第一天、无边曼舞、别让世界静下来
2.7.上,星期日、景元,青雀、阿兰、停云,回到大地的飞行、拂晓之前,芳华待灼、「我」的诞生、论剑
2.7.下,忘归人、流萤,加拉赫、驭空、米沙,长路终有归途、梦应归于何处,铭记于心的约定、决心如汗珠般闪耀、两个人的演唱会
3.0.上,大黑塔、灵砂、飞霄、翡翠,娜塔莎、艾丝妲、貊泽,向着不可追问处、唯有香如故、我将，巡征追猎、偏偏希望无价,唯有沉默、朗道的选择、天才们的休憩
3.0.下,阿格莱雅、波提欧、知更鸟、银狼,停云、寒鸦、素裳,将光阴织成黄金、驶向第二次生命、夜色流光溢彩、雨一直下,天才们的问候、点个关注吧、舞！舞！舞！
3.1.上,缇宝、云璃,玲可、虎克、桂乃芬,如果时间是一朵花、落日时起舞,与行星相会、一场术后对话、宇宙市场趋势
3.1.下,万敌、藿藿,阿兰、雪衣、娜塔莎,血火啊，燃烧前路、惊魂夜,此时恰好、秘密誓心、记忆中的模样
3.2.上,遐蝶、忘归人、椒丘、黄泉,佩拉、加拉赫、玲可,让告别，更美一些、长路终有归途、那无数个春天、行于流逝的岸,晚安与睡颜、一场术后对话、无边曼舞
3.2.下,那刻夏、真理医生,丹恒、希露瓦、貊泽,生命当付之一炬、纯粹思维的洗礼,宇宙市场趋势、协乐静默之后、鼹鼠党欢迎你
3.3.上,风堇、大黑塔,米沙、希露瓦、娜塔莎,愿虹光永驻天空、向着不可追问处,别让世界静下来、黑夜如影随形、余生的第一天
3.3.下,赛飞儿、阿格莱雅,青雀、雪衣、素裳,谎言在风中飘扬、将光阴织成黄金,天才们的问候、猎物的视线、同一种心情
3.4.上,白厄、缇宝、星期日、花火,停云、三月七、驭空,黎明恰如此燃烧、如果时间是一朵花、回到大地的飞行、游戏尘寰,故事的下一页、与行星相会、在蓝天下
3.4.下,流萤、镜流、刃,寒鸦、玲可、卢卡,梦应归于何处、此身为剑、到不了的彼岸,秘密誓心、点个关注吧！、决心如汗珠般闪耀
3.5.上,海瑟音、卡芙卡,艾丝妲、阿兰、虎克,海洋为何而歌、只需等待,猎物的视线、芳华待灼、铭记于心的约定
3.5.下,刻律德菈、银狼,桑博、青雀、丹恒,金血铭刻的时代、雨一直下,『我』的诞生、论剑、晚安与睡颜
3.6.上,长夜月、大黑塔,米沙、桂乃芬、雪衣,致长夜的星光、向着不可追问处,梦的蒙太奇、谐乐静默之后、舞！舞！舞！
3.6.下,丹恒•腾荒、那刻夏,素裳、寒鸦、希露瓦,纵然山河万程、生命当付之一炬,朗道的选择、唯有沉默、此时恰好
3.7.上,昔涟、风堇、遐蝶、缇宝,貊泽、玲可、佩拉,爱如此刻永恒、愿虹光永驻天空、让告别，更美一些、如果时间是一朵花,故事的下一页、两个人的演唱会、无边曼舞
3.7.下,昔涟、白厄、赛飞儿、万敌,,爱如此刻永恒、黎明恰如此燃烧、谎言在风中飘扬、血火啊，燃烧前路,故事的下一页、两个人的演唱会、无边曼舞
3.8.上,大丽花、流萤,加拉赫、卢卡、三月七,勿忘她的火焰、梦应归于何处,两个人的演唱会、记忆中的模样、晚安与睡颜
3.8.下,忘归人、灵砂,桑博、娜塔莎、阿兰,长路终有归途、唯有香如故,天才们的休憩、鼹鼠党欢迎你、一场术后对话
预告,tmp爻光、tmp火花,,,
FSN_UBW,Saber、Archer,,没有回报的加冕、理想燃烧的地狱,